ks2aps,att8,english,maths,ebacc,open,opengcse,openother,ebaccslots,openslots,ks4year
1.5,13.2,3.35,1.8,1.75,6.3,3.49,2.81,0.6,1.85,2015
2,17.79,4.69,2.49,2.46,8.16,4.31,3.85,0.84,2.27,2015
2.5,19.39,5.35,2.65,2.56,8.83,4.95,3.88,0.91,2.42,2015
2.8,20.38,5.71,2.91,2.53,9.23,5.06,4.16,0.96,2.5,2015
2.9,21.88,5.98,3.49,2.84,9.58,5.45,4.12,1.05,2.56,2015
3,23.37,6.35,3.74,3.16,10.13,5.79,4.34,1.06,2.58,2015
3.1,23.91,6.46,4,3.38,10.07,6.04,4.03,1.16,2.59,2015
3.2,24.42,6.7,4.09,3.38,10.25,6.1,4.15,1.17,2.62,2015
3.3,26.15,6.93,4.6,3.82,10.81,6.56,4.24,1.24,2.66,2015
3.4,27.71,7.22,5.04,4.27,11.17,6.91,4.26,1.34,2.71,2015
3.5,28.58,7.37,5.25,4.52,11.44,7.1,4.34,1.36,2.7,2015
3.6,30.24,7.65,5.76,4.99,11.84,7.51,4.33,1.47,2.74,2015
3.7,32.11,8,6.27,5.65,12.19,8.03,4.17,1.59,2.77,2015
3.8,33.63,8.25,6.68,6.19,12.51,8.36,4.15,1.69,2.78,2015
3.9,35.27,8.5,7.12,6.8,12.85,8.86,4,1.8,2.81,2015
4,36.48,8.67,7.34,7.28,13.19,9.17,4.02,1.85,2.82,2015
4.1,38.8,9.01,7.96,8.25,13.58,9.82,3.76,2.02,2.84,2015
4.2,40.62,9.33,8.34,8.98,13.96,10.43,3.53,2.14,2.86,2015
4.3,42.55,9.63,8.73,9.82,14.38,10.96,3.42,2.25,2.88,2015
4.4,44.49,9.92,9.09,10.71,14.77,11.58,3.19,2.36,2.89,2015
4.5,45.87,10.14,9.31,11.28,15.15,12,3.15,2.41,2.91,2015
4.6,48.5,10.56,9.82,12.46,15.65,12.91,2.74,2.56,2.92,2015
4.7,50.71,10.92,10.18,13.46,16.15,13.69,2.46,2.65,2.94,2015
4.8,52.76,11.23,10.59,14.34,16.6,14.31,2.28,2.73,2.94,2015
4.9,55.03,11.6,11,15.29,17.13,15.14,2,2.8,2.96,2015
5,56.16,11.73,11.29,15.74,17.4,15.43,1.97,2.81,2.96,2015
5.1,59.32,12.25,11.97,17.01,18.09,16.48,1.61,2.88,2.97,2015
5.2,61.51,12.59,12.44,17.86,18.62,17.22,1.4,2.91,2.97,2015
5.3,63.92,12.93,13.01,18.75,19.22,17.96,1.26,2.94,2.98,2015
5.4,66.31,13.31,13.59,19.61,19.8,18.74,1.06,2.95,2.98,2015
5.5,65.67,13.3,13.32,19.3,19.75,18.55,1.19,2.93,2.98,2015
5.6,71.61,14.26,14.65,21.44,21.25,20.51,0.74,2.97,2.98,2015
5.7,74.18,14.72,15.13,22.31,22.01,21.43,0.58,2.98,2.99,2015
5.8,76.28,15.25,15.46,22.94,22.63,22.23,0.41,2.99,2.99,2015
